Date,Open,High,Low,Close,Adj Close,Volume
2023-03-07,22428.322266,22527.417969,22011.261719,22219.769531,22219.769531,22765452204
2023-03-08,22216.441406,22268.896484,21708.050781,21718.080078,21718.080078,22536575684
2023-03-09,21720.080078,21802.716797,20210.306641,20363.021484,20363.021484,30364664171
2023-03-10,20367.001953,20370.595703,19628.253906,20187.244141,20187.244141,39578257695
2023-03-11,20187.876953,20792.525391,20068.660156,20632.410156,20632.410156,30180288176
2023-03-12,20628.029297,22185.031250,20448.806641,22163.949219,22163.949219,29279035521
2023-03-13,22156.406250,24550.837891,21918.199219,24197.533203,24197.533203,49466362688
2023-03-14,24201.765625,26514.716797,24081.183594,24746.074219,24746.074219,54622230164
2023-03-15,24770.925781,25240.615234,23964.910156,24375.960938,24375.960938,43655701450
2023-03-16,24373.457031,25190.326172,24225.111328,25052.789063,25052.789063,33866061747
2023-03-17,25055.123047,27787.812500,24955.169922,27423.929688,27423.929688,50730261335
2023-03-18,27448.117188,27725.953125,26636.261719,26965.878906,26965.878906,35723036817
2023-03-19,26969.503906,28440.560547,26907.716797,28038.675781,28038.675781,37769448859
2023-03-20,28041.601563,28527.724609,27242.880859,27767.236328,27767.236328,44774027664
2023-03-21,27768.392578,28439.562500,27439.646484,28175.816406,28175.816406,36102192830
2023-03-22,28158.720703,28803.335938,26759.996094,27307.437500,27307.437500,33382021890
2023-03-23,27301.957031,28729.843750,27183.363281,28333.972656,28333.972656,24220433689
2023-03-24,28324.111328,28388.437500,27039.265625,27493.285156,27493.285156,25980310960
2023-03-25,27487.337891,27791.826172,27196.234375,27494.707031,27494.707031,13383005987
2023-03-26,27495.523438,28178.144531,27445.046875,27994.330078,27994.330078,13878363192
2023-03-27,27994.068359,28037.925781,26606.689453,27139.888672,27139.888672,18188895178
2023-03-28,27132.888672,27460.718750,26677.818359,27268.130859,27268.130859,17783600385
2023-03-29,27267.031250,28619.542969,27259.662109,28348.441406,28348.441406,20684945906
2023-03-30,28350.140625,29159.902344,27720.160156,28033.562500,28033.562500,22435349951
2023-03-31,28032.261719,28639.896484,27583.714844,28478.484375,28478.484375,19001327598
2023-04-01,28473.332031,28802.457031,28297.171875,28411.035156,28411.035156,10876469901
2023-04-02,28462.845703,28518.958984,27884.087891,28199.308594,28199.308594,12284641999
2023-04-03,28183.080078,28475.623047,27276.720703,27790.220703,27790.220703,19556501327
2023-04-04,27795.273438,28433.742188,27681.304688,28168.089844,28168.089844,15284538859
2023-04-05,28169.726563,28739.238281,27843.763672,28177.984375,28177.984375,17052315986
2023-04-06,28175.226563,28178.384766,27738.759766,28044.140625,28044.140625,13837809380
2023-04-07,28038.966797,28111.593750,27794.031250,27925.859375,27925.859375,10861680497
2023-04-08,27920.513672,28159.863281,27883.386719,27947.794922,27947.794922,9373255556
2023-04-09,27952.367188,28532.830078,27828.480469,28333.050781,28333.050781,12175322951
2023-04-10,28336.027344,29771.464844,28189.271484,29652.980469,29652.980469,19282400094
2023-04-11,29653.679688,30509.083984,29609.300781,30235.058594,30235.058594,20121259843
2023-04-12,30231.582031,30462.480469,29725.574219,30139.052734,30139.052734,18651929926
2023-04-13,29892.740234,30539.845703,29878.623047,30399.066406,30399.066406,17487721001
2023-04-14,30409.562500,31005.607422,30044.498047,30485.699219,30485.699219,22659995079
2023-04-15,30490.750000,30601.740234,30245.882813,30318.496094,30318.496094,11940685378
2023-04-16,30315.976563,30555.537109,30157.832031,30315.355469,30315.355469,12854816417
2023-04-17,30317.146484,30319.197266,29275.371094,29445.044922,29445.044922,17872186762
2023-04-18,29449.091797,30470.302734,29154.849609,30397.552734,30397.552734,19480529496
2023-04-19,30394.187500,30411.054688,28669.898438,28822.679688,28822.679688,24571565421
2023-04-20,28823.683594,29076.400391,28037.257813,28245.988281,28245.988281,21340360360
2023-04-21,28249.230469,28349.968750,27177.365234,27276.910156,27276.910156,20759504330
2023-04-22,27274.150391,27385.095703,27175.154297,27338.378906,27338.378906,19185252352
